bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
11380,Thu,Mar,73,19,14,3,1,4,138,20,126,NO,0.0,NO,normal,P3,PC,5,0,NO
11389,Sat,Mar,75,0,16,3,1,1,147,1,50,YES,0.0,NO,normal,P3,Other,8,0,NO
7517,Wed,Jul,212,13,31,3,1,14,322,2,1131,NO,0.0,YES,normal,P3,PC,9,0,NO
100162,Wed,Jun,166,14,15,6,2,53,1496,1,2,NO,0.0,NO,normal,P3,PC,7,1,NO
92872,Wed,Apr,117,21,27,1,12,64,131,29,632,NO,0.0,NO,normal,P3,All,6,1,YES
206017,Fri,Nov,306,11,2,3,2,6,249,64,100,NO,0.0,NO,normal,P3,PC,12,2,NO
52264,Thu,Mar,64,18,4,1,2,57,116,203,477,NO,0.0,NO,normal,P3,PC,8,2,NO
152841,Tue,Aug,240,10,28,3,2,119,577,61,98,NO,0.0,NO,normal,P3,PC,7,1,NO
139555,Mon,Jun,170,8,19,3,4,168,420,3,133,NO,0.0,NO,normal,P3,PC,21,1,NO
98488,Tue,Jun,158,16,7,1,2,10,218,137,853,NO,0.0,NO,normal,P3,PC,10,1,YES
81244,Thu,Feb,41,22,10,5,3,55,1286,27,1213,YES,0.0,NO,normal,P3,PC,6,1,NO
86967,Sun,Mar,65,14,6,6,1,27,1319,358,769,NO,0.0,NO,normal,P3,PC,9,0,NO
27173,Wed,Nov,331,16,27,8,2,34,24,65,680,YES,0.0,NO,enhancement,P3,PC,3,0,NO
51600,Tue,May,132,9,11,1,1,78,150,168,472,NO,0.0,NO,normal,P3,PC,12,1,NO
51600,Tue,May,132,9,11,1,1,10,151,168,472,NO,0.0,NO,normal,P3,PC,12,1,NO
51600,Tue,May,132,9,11,1,7,282,153,168,472,NO,0.0,NO,normal,P3,PC,12,1,NO
51600,Tue,May,132,10,11,3,2,15,154,168,472,NO,1.0,NO,normal,P3,PC,12,1,NO
51600,Tue,May,132,10,11,3,1,293,155,168,472,NO,1.0,NO,normal,P3,PC,12,1,NO
117890,Thu,Nov,328,11,24,4,2,26,294,24,148,YES,0.0,NO,normal,P3,PC,4,0,NO
51606,Tue,May,146,10,25,1,1,114,170,130,473,NO,0.0,NO,normal,P3,PC,12,0,NO
51606,Tue,May,146,10,25,1,1,61,171,130,473,NO,0.0,NO,normal,P3,PC,12,0,NO
120545,Tue,Dec,347,19,13,5,2,9,1689,3,160,YES,0.0,NO,trivial,P3,PC,3,0,NO
120545,Tue,Dec,347,19,13,8,3,30,1690,3,160,YES,0.1,NO,trivial,P3,PC,3,0,NO
120545,Wed,Dec,348,14,14,5,1,4,1700,3,160,YES,4.3,NO,trivial,P3,PC,3,0,NO
120545,Wed,Dec,348,14,14,5,1,15,1703,3,160,YES,4.3,NO,trivial,P3,PC,3,0,NO
120545,Wed,Dec,348,14,14,5,1,2,1705,3,160,YES,4.3,NO,trivial,P3,PC,3,0,NO
154071,Tue,Sep,268,15,25,3,13,269,539,1,167,NO,0.0,NO,enhancement,P2,PC,14,7,NO
104664,Mon,Jul,206,14,25,5,5,127,1512,8,19,YES,0.0,NO,normal,P3,PC,9,0,NO
74355,Mon,Sep,264,19,20,5,1,6,1064,322,1127,YES,0.0,NO,normal,P3,PC,8,0,NO
158548,Tue,Sep,269,16,26,1,6,235,543,31,144,NO,0.0,NO,normal,P3,PC,11,0,NO
97332,Thu,Mar,80,8,20,3,9,1898,286,402,129,NO,0.0,NO,enhancement,P3,PC,12,7,NO
97332,Fri,Mar,81,9,21,7,1,15,287,402,129,NO,4.7,NO,enhancement,P3,PC,12,7,NO
74126,Tue,Sep,265,17,21,5,7,926,1067,320,1126,YES,0.0,NO,normal,P3,PC,7,2,YES
193570,Thu,Jun,172,13,21,5,2,3,2263,3,472,YES,0.0,NO,normal,P3,PC,8,2,NO
96794,Tue,May,151,15,31,5,1,4,1446,271,1352,YES,0.0,NO,normal,P3,PC,3,0,NO
