bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
378463,Tue,May,121,23,1,14,1,0,20,24,28,YES,0.0,NO,normal,--,PowerPC,10,3,YES
378463,Tue,May,121,23,1,14,8,274,21,24,28,YES,0.0,NO,normal,--,PowerPC,10,3,YES
378463,Wed,May,122,0,2,8,9,274,29,24,28,YES,0.6,NO,normal,--,PowerPC,10,3,YES
378463,Wed,May,122,18,2,16,10,275,22,24,28,YES,4.3,NO,normal,--,PowerPC,10,3,YES
378463,Wed,Jul,206,1,25,14,4,171,80,24,28,YES,11.0,NO,normal,--,PowerPC,10,3,YES
378463,Wed,Jul,206,1,25,8,5,171,66,24,28,YES,11.0,NO,normal,--,PowerPC,10,3,YES
378463,Wed,Jul,206,1,25,16,6,172,83,24,28,YES,11.0,NO,normal,--,PowerPC,10,3,YES
541131,Tue,Apr,117,1,27,10,40,118,1,75,1,YES,0.0,NO,enhancement,--,All,10,1,NO
378468,Sat,Jun,181,2,30,9,6,238,56,28,51,YES,0.0,NO,normal,--,All,8,5,YES
460063,Wed,Nov,317,15,12,15,2,75,95,291,53,YES,0.0,NO,major,--,x86,11,7,NO
452897,Fri,Sep,256,21,12,9,6,1503,68,159,195,YES,0.0,NO,enhancement,--,All,6,4,NO
498609,Sun,Jun,172,0,21,12,3,39,90,54,235,YES,0.0,NO,normal,--,x86,8,8,NO
493657,Tue,May,139,19,19,11,1,55,379,409,167,NO,0.0,NO,critical,P1,x86,10,9,NO
493657,Tue,May,139,21,19,6,1,47,380,409,167,YES,1.4,NO,critical,P1,x86,10,9,NO
493657,Tue,May,139,23,19,6,1,55,381,409,167,NO,2.3,NO,critical,P1,x86,10,9,NO
493657,Wed,May,140,1,20,9,1,47,382,409,167,YES,2.7,NO,critical,P1,x86,10,9,NO
452899,Sat,Sep,264,15,20,18,1,9,3,160,11,YES,0.0,NO,normal,--,All,12,6,YES
452899,Thu,Dec,339,17,4,24,1,9,4,160,11,YES,10.8,NO,normal,--,All,12,6,YES
452899,Thu,Dec,339,18,4,4,1,9,81,160,11,NO,10.8,NO,normal,--,All,12,6,YES
452899,Thu,Dec,339,18,4,6,1,9,82,160,11,NO,10.8,NO,normal,--,All,12,6,YES
452899,Fri,Mar,79,23,20,18,1,9,8,160,11,YES,12.1,NO,normal,--,All,12,6,YES
452899,Sat,Mar,80,0,21,4,1,9,143,160,11,NO,12.1,NO,normal,--,All,12,6,YES
449142,Thu,Dec,353,1,18,21,17,128,224,20,347,YES,0.0,NO,normal,P2,All,14,9,YES
449142,Thu,Dec,353,3,18,7,17,128,226,20,347,YES,1.5,NO,normal,P2,All,14,9,YES
449142,Thu,Dec,353,3,18,17,17,128,227,20,347,YES,1.5,NO,normal,P2,All,14,9,YES
382358,Thu,Oct,298,20,25,17,4,26,170,33,40,YES,0.0,NO,normal,--,All,9,5,NO
441778,Tue,Aug,232,21,19,15,3,117,1,1,87,YES,0.0,NO,major,--,All,8,12,NO
479863,Mon,May,138,2,18,15,9,214,401,200,439,YES,0.0,NO,normal,--,All,8,18,NO
479863,Mon,May,138,2,18,19,8,227,402,200,439,YES,0.0,NO,normal,--,All,8,18,NO
494927,Thu,Aug,225,23,13,12,2,8,1,112,8,YES,0.0,NO,normal,--,All,8,9,YES
494927,Fri,Aug,226,4,14,13,2,8,172,112,8,YES,2.7,NO,normal,--,All,8,9,YES
494927,Fri,Aug,226,4,14,5,2,8,173,112,8,YES,2.7,NO,normal,--,All,8,9,YES
389464,Wed,Jul,206,23,25,13,5,159,134,27,114,YES,0.0,NO,normal,--,x86,8,2,NO
505587,Wed,Jul,203,2,22,7,8,482,130,125,150,YES,0.0,NO,enhancement,--,All,3,4,NO
478899,Thu,Feb,50,1,19,8,2,6,368,290,306,YES,0.0,NO,normal,P4,All,5,0,NO
478899,Thu,Feb,50,15,19,8,2,6,378,290,306,YES,3.9,NO,normal,P4,All,5,0,NO
454449,Mon,Oct,294,16,20,14,1,4,5,1,3,YES,0.0,NO,normal,--,All,9,3,YES
454449,Tue,Oct,295,2,21,8,1,4,7,1,3,YES,3.6,NO,normal,--,All,9,3,YES
454449,Tue,Oct,295,2,21,9,1,4,8,1,3,YES,3.6,NO,normal,--,All,9,3,YES
386635,Wed,Jul,192,22,11,38,3,217,62,9,59,YES,0.0,NO,normal,P2,x86,4,26,YES
386635,Thu,Jul,193,19,12,11,3,217,15,9,59,YES,4.4,NO,normal,P2,x86,4,26,YES
386635,Fri,Feb,43,1,12,17,7,140,370,9,59,YES,14.5,YES,normal,P2,x86,4,26,YES
386632,Mon,Jul,190,18,9,9,7,102,55,45,53,YES,0.0,NO,normal,--,All,5,1,NO
386632,Fri,Jul,194,18,13,16,1,4,59,45,53,YES,6.6,NO,normal,--,All,5,1,NO
386632,Wed,Jul,206,1,25,9,7,102,100,45,53,YES,8.5,NO,normal,--,All,5,1,NO
409009,Fri,Jan,18,23,18,13,2,38,128,49,112,YES,0.0,NO,normal,--,x86,9,2,NO
392118,Tue,Aug,226,16,14,8,3,83,168,144,131,NO,0.0,NO,normal,--,x86,6,3,NO
392118,Mon,Aug,232,0,20,18,2,10,172,144,131,YES,7.0,NO,normal,--,x86,6,3,NO
450538,Fri,Aug,228,0,15,27,1,8,8,6,69,YES,0.0,NO,normal,--,Other,4,3,NO
576642,Mon,Aug,221,19,9,8,4,63,9,15,6,YES,0.0,NO,normal,--,x86,3,8,YES
576642,Tue,Aug,222,11,10,7,4,63,17,15,6,YES,4.1,NO,normal,--,x86,3,8,YES
576642,Tue,Aug,222,11,10,8,1,7,18,15,6,YES,4.1,NO,normal,--,x86,3,8,YES
576642,Tue,Aug,222,11,10,8,4,63,19,15,6,YES,4.1,NO,normal,--,x86,3,8,YES
410006,Tue,Jan,8,18,8,8,1,7,97,25,29,NO,0.0,NO,normal,P2,All,6,4,YES
410006,Fri,Jan,18,16,18,6,1,2,104,25,29,NO,7.9,NO,normal,P2,All,6,4,YES
450535,Fri,Aug,228,23,15,35,1,30,61,5,2,NO,0.0,YES,normal,--,Other,4,2,NO
409006,Wed,Jul,184,11,2,14,4,35,9,70,120,NO,0.0,NO,critical,--,x86,12,8,NO
409006,Wed,Jul,184,11,2,5,4,37,10,70,120,YES,0.1,NO,critical,--,x86,12,8,NO
409006,Wed,Jul,184,13,2,6,4,37,11,70,120,YES,1.9,NO,critical,--,x86,12,8,NO
409006,Thu,Jul,185,12,3,5,4,46,12,70,120,YES,4.7,NO,critical,--,x86,12,8,NO
535706,Sun,Feb,59,22,28,10,10,475,199,119,125,YES,0.0,NO,normal,--,x86,6,9,NO
563241,Fri,May,148,9,28,8,1,24,180,157,211,YES,0.0,NO,normal,P2,All,3,7,NO
331530,Tue,Feb,50,16,19,14,6,45,261,30,38,YES,0.0,NO,normal,P2,All,9,7,NO
456792,Thu,Sep,269,15,25,12,9,48,22,20,33,YES,0.0,NO,minor,--,All,6,2,NO
