bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
55616,Wed,May,126,18,5,1,3,34,342,1,122,NO,0.0,NO,critical,P2,PC,12,1,NO
110559,Wed,Oct,278,0,5,7,1,50,622,7,43,YES,0.0,NO,normal,P3,PC,5,1,NO
28991,Fri,Jan,3,22,3,1,1,27,138,14,475,NO,0.0,NO,normal,P3,All,8,1,NO
28991,Fri,Jan,3,23,3,1,1,25,139,14,475,NO,0.2,NO,normal,P3,All,8,1,NO
28991,Fri,Jan,3,23,3,1,3,74,8,14,475,NO,0.7,NO,normal,P3,All,8,1,NO
28991,Mon,Jan,6,16,6,1,2,20,140,14,475,NO,6.1,NO,normal,P3,All,8,1,NO
28991,Mon,Jan,6,16,6,1,1,10,9,14,475,NO,6.1,NO,normal,P3,All,8,1,NO
28991,Mon,Jan,6,18,6,1,1,4,10,14,475,NO,6.1,NO,normal,P3,All,8,1,NO
84911,Wed,Jun,173,8,22,3,16,117,172,4,193,YES,0.0,NO,normal,P3,All,2,1,NO
84911,Wed,Jun,173,9,22,3,15,105,173,4,193,YES,0.8,NO,normal,P3,All,2,1,NO
84911,Wed,Jun,173,12,22,3,4,57,174,4,193,YES,2.3,NO,normal,P3,All,2,1,NO
84911,Wed,Jun,173,13,22,3,2,42,175,4,193,YES,2.5,NO,normal,P3,All,2,1,NO
84911,Wed,Jun,173,13,22,3,1,11,176,4,193,YES,2.7,NO,normal,P3,All,2,1,NO
84911,Wed,Jun,173,16,22,3,1,6,178,4,193,YES,3.1,NO,normal,P3,All,2,1,NO
84911,Wed,Jun,173,16,22,3,1,8,179,4,193,YES,3.1,NO,normal,P3,All,2,1,NO
84911,Wed,Jun,173,16,22,3,1,8,180,4,193,YES,3.2,NO,normal,P3,All,2,1,NO
84911,Wed,Jun,173,16,22,3,2,6,181,4,193,YES,3.2,NO,normal,P3,All,2,1,NO
78854,Thu,Nov,323,22,18,8,1,1,308,4,222,YES,0.0,NO,major,P3,PC,4,0,YES
267405,Fri,Mar,65,17,6,9,1,4,326,132,227,NO,0.0,NO,normal,P3,PC,7,1,NO
78856,Tue,Oct,303,20,30,12,6,320,16,2,79,YES,0.0,NO,normal,P3,PC,10,1,NO
78856,Tue,Oct,303,21,30,12,1,115,17,2,79,YES,0.7,NO,normal,P3,PC,10,1,NO
78856,Tue,Oct,303,21,30,13,4,241,18,2,79,YES,0.7,NO,normal,P3,PC,10,1,NO
78856,Tue,Oct,303,21,30,12,6,128,19,2,79,YES,0.9,NO,normal,P3,PC,10,1,NO
78856,Tue,Oct,303,21,30,13,3,115,20,2,79,YES,1.0,NO,normal,P3,PC,10,1,NO
78856,Tue,Oct,303,21,30,13,7,386,21,2,79,YES,1.1,NO,normal,P3,PC,10,1,NO
250427,Wed,May,146,5,26,7,1,3,563,75,11,YES,0.0,NO,trivial,P3,PC,8,1,NO
250427,Wed,May,146,5,26,7,1,5,22,75,11,YES,0.7,NO,trivial,P3,PC,8,1,NO
60913,Fri,May,128,19,7,1,1,24,238,104,617,NO,0.0,NO,major,P2,PC,8,1,NO
60913,Fri,May,128,19,7,1,4,240,239,104,617,NO,0.1,NO,major,P2,PC,8,1,NO
60913,Fri,May,128,20,7,1,5,323,240,104,617,NO,0.3,NO,major,P2,PC,8,1,NO
22261,Mon,Jan,14,18,14,9,10,287,1120,1,404,NO,0.0,NO,enhancement,P3,All,7,1,NO
276532,Wed,May,140,18,20,6,4,16,522,21,84,YES,0.0,NO,normal,P3,PC,8,1,YES
22000,Fri,Feb,42,20,11,1,13,304,12,7,44,NO,0.0,NO,normal,P3,PC,8,1,YES
22004,Wed,Jul,212,22,31,1,1,16,65,3,400,NO,0.0,NO,normal,P1,PC,9,1,YES
22004,Wed,Jul,212,22,31,1,2,27,66,3,400,NO,0.4,NO,normal,P1,PC,9,1,YES
88159,Thu,May,146,15,26,1,1,13,400,1,600,NO,0.0,NO,normal,P3,PC,10,1,NO
23845,Wed,Sep,268,16,25,5,2,185,21,19,3,NO,0.0,NO,normal,P3,Macintosh,6,0,NO
