bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
127019,Wed,Jan,15,7,15,10,3,57,766,238,223,YES,0.0,NO,Normal,P2,Unspecified,9,5,YES
127019,Wed,Jan,15,21,15,10,3,67,768,238,223,YES,3.9,NO,Normal,P2,Unspecified,9,5,YES
114784,Fri,Apr,111,23,20,10,2,11,233,42,42,YES,0.0,NO,Normal,P2,Unspecified,7,4,NO
114784,Sat,Apr,112,0,21,10,4,42,688,42,42,YES,1.5,NO,Normal,P2,Unspecified,7,4,NO
127353,Tue,Jan,21,20,21,13,5,73,513,94,121,YES,0.0,NO,Normal,P2,All,12,9,NO
94589,Tue,Sep,249,22,6,15,2,14,343,107,100,NO,0.0,NO,Normal,P2,Unspecified,10,5,NO
55347,Fri,Jun,161,20,10,7,7,90,502,5,183,YES,0.0,NO,Minor,P2,All,6,4,NO
64357,Tue,Jul,193,14,12,13,4,27,35,62,45,YES,0.0,NO,Normal,P2,Unspecified,12,2,YES
73394,Thu,Dec,335,16,1,10,7,267,54,95,78,YES,0.0,NO,Normal,P2,Unspecified,6,7,YES
73394,Fri,Dec,336,4,2,10,7,267,57,95,78,YES,3.7,NO,Normal,P2,Unspecified,6,7,YES
73394,Fri,Dec,336,12,2,10,7,270,59,95,78,YES,4.4,NO,Normal,P2,Unspecified,6,7,YES
73394,Thu,Dec,342,8,8,10,7,276,61,95,78,YES,7.3,NO,Normal,P2,Unspecified,6,7,YES
73394,Fri,Dec,343,2,9,10,7,276,62,95,78,YES,7.5,NO,Normal,P2,Unspecified,6,7,YES
73394,Mon,Dec,346,3,12,10,7,278,66,95,78,YES,8.0,NO,Normal,P2,Unspecified,6,7,YES
131111,Fri,Oct,286,2,12,10,7,63,2747,74,3385,YES,0.0,NO,Normal,P2,All,7,1,NO
78859,Thu,Feb,48,20,17,3,12,136,632,64,61,NO,0.0,NO,Normal,P2,Unspecified,3,4,NO
72020,Fri,Nov,315,13,11,13,9,183,488,193,138,YES,0.0,NO,Normal,P2,All,12,16,NO
117672,Sat,May,140,4,19,4,162,4326,1254,6,1739,NO,0.0,NO,Minor,P2,Macintosh,3,1,NO
117672,Sat,May,140,4,19,5,171,3401,1255,6,1739,NO,0.0,NO,Minor,P2,Macintosh,3,1,NO
117672,Sat,May,140,6,19,5,472,9082,1256,6,1739,NO,1.4,NO,Minor,P2,Macintosh,3,1,NO
117672,Sat,May,140,6,19,6,318,4361,1257,6,1739,NO,1.6,NO,Minor,P2,Macintosh,3,1,NO
117672,Sat,May,140,7,19,5,238,3864,974,6,1739,NO,2.0,NO,Minor,P2,Macintosh,3,1,NO
117672,Sat,May,140,13,19,7,152,2936,6999,6,1739,YES,3.4,NO,Minor,P2,Macintosh,3,1,NO
